Column,dipl,HS_corr,HS_persname,persname,HS_persname_check,HS_comment,HS_link,dipl_ctx_lr15,pb_n,doc,dipl-ids
0,Achilles,persname anpassen,Achilles (Mythologie),Achilles,true,siehe Kontext,,Griechiſch Morchion / hat den Rettich auſzgeſtrichen . Das dauſet gulden kraut der Centaurus . Achilles der kriegs fürſt das Gerwel kraut . Wo bleiben die heylſamen kreütter Herculis ? als,NaN,NewKreuetterBuch-VR_1539_Bock,"['RIDGES_Herbology_Version9.0/NewKreuetterBuch-VR_1539_Bock#sSpan12227', 'RIDGES_Herbology_Version9.0/NewKreuetterBuch-VR_1539_Bock#sTok12228_virtualSpan']"
1,haben,Fehler in dipl & persname,Achilles (Mythologie),Achilles,true,siehe Kontext,,Mithridates erfunden vnd angezeygt / vnnd nach ſeinem Namen Mithridatiam genañt / die Heylwurtzen Panaces haben Achilles vnd Hercules erfun⸗ den / die Waſſer Bethonien / ſonst Bachſchaum genannt / iſt,NaN,NeuwKreuterbuch-VR_1588_Theodorus,"['RIDGES_Herbology_Version9.0/NeuwKreuterbuch-VR_1588_Theodorus#sSpan40215', 'RIDGES_Herbology_Version9.0/NeuwKreuterbuch-VR_1588_Theodorus#sTok40216_virtualSpan']"
2,Achuen,persname anpassen,keine Person,Achuen,false,"vermutlich keine Person, sondern ein anderer Name für ""Matricaria""

""gr. achne = Spreu""",https://www.forstbotanik.uni-freiburg.de/Forstbotanischer%20Garten/gattungserklaerung,/ vnd Berengeſif / Auicenne lib. 2. cap. 87. vnd Serapionis Matrica ria / oder Achuen / cap. 243. vnd das gros Arthemiſia / Dioſco. lib. 3. ca. 118. vnd der,NaN,NewKreuetterBuch_1539_Bock,"['RIDGES_Herbology_Version9.0/NewKreuetterBuch_1539_Bock#sSpan23015', 'RIDGES_Herbology_Version9.0/NewKreuetterBuch_1539_Bock#sTok23016_virtualSpan']"
3,Roy.,,Adriaan van Royen,Adriaan_van_Royen,true,Kürzel,https://de.wikipedia.org/wiki/Adriaan_van_Royen,. 79 . Vaill. 3 . Heiſ. III. 1 . Linn. G. n. 464 . Roy. 240 . Hall. 407 . Kram. 32 . Luávv. n. 606 . 5. NOM. SPEC.,NaN,BlackwellischesKraeuterbuch_1750_Blackwell,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35316', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35317_virtualSpan']"
4,Roy.,,Adriaan van Royen,Adriaan_van_Royen,true,Kürzel,https://de.wikipedia.org/wiki/Adriaan_van_Royen,"& inciſis Linn. H. 331 . Lepidium foliis ob- longis multifidis Linn. V. 63 . Roy. 335 . Anm. Die Blume ſtellet vor fig. 1. , die Saamen⸗Huͤlſe oder unreife Frucht",NaN,BlackwellischesKraeuterbuch_1750_Blackwell,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35396', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35397_virtualSpan']"
5,Roy.,,Adriaan van Royen,Adriaan_van_Royen,true,Kürzel,https://de.wikipedia.org/wiki/Adriaan_van_Royen,"31 . Trifolium ſpicis villoſis , caule diffuſo , foliis integerrimis Linn. H. 375 . Roy. 380 . Trifolium ſpicis villoſis foliis inſidentibus , vaginarum caudis capillaribus Hall. 585 . Trifoliodes",NaN,BlackwellischesKraeuterbuch_1750_Blackwell,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35301', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35302_virtualSpan']"
6,Roy.,,Adriaan van Royen,Adriaan_van_Royen,true,Kürzel,https://de.wikipedia.org/wiki/Adriaan_van_Royen,"392 . Vaill. 52 . Vicia caule erecto petiolis absque cirrhis Linn. H. 369 . Roy. 366 . Anm. Weilen wir die Figur des Originals unvollkommen be⸗ funden , haben wir",NaN,BlackwellischesKraeuterbuch_1750_Blackwell,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35281', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35282_virtualSpan']"
7,Roy.,,Adriaan van Royen,Adriaan_van_Royen,true,Kürzel,https://de.wikipedia.org/wiki/Adriaan_van_Royen,543 . Kram. 222 . Ludvv. n. 422 . Lepidium Linn. G. no. 645 . Roy. 334 . 5. NOM. SPEC Naſturtium hortenſe Ger. 250 . Rai. I. 825 . Heuch.,NaN,BlackwellischesKraeuterbuch_1750_Blackwell,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35384', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35385_virtualSpan']"
8,Roy.,,Adriaan van Royen,Adriaan_van_Royen,true,Kürzel,https://de.wikipedia.org/wiki/Adriaan_van_Royen,7 . Hall. 464 . Ludvv. no. 278 . Lonicera Linn. G. no. 174 . Roy. 237 . 5. NOM. SPEC. Caprifolium Germanicum floribus ſpecioſius Soc. Hortul. p. 15 . Tab.,NaN,BlackwellischesKraeuterbuch_1750_Blackwell,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35446', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35447_virtualSpan']"
9,Roy.,,Adriaan van Royen,Adriaan_van_Royen,true,Kürzel,https://de.wikipedia.org/wiki/Adriaan_van_Royen,"Achillea foliis duplicato pinnatis , glabris , laciniis linearibus acute lacinatis Lin. H. 413 . Roy. 175 . Achillea pinnis foliorum plurimis , longe æqualibus , pinnatis , pinulis trifidis &",NaN,BlackwellischesKraeuterbuch_1750_Blackwell,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35254', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35255_virtualSpan']"
10,Roy.,,Adriaan van Royen,Adriaan_van_Royen,true,Kürzel,https://de.wikipedia.org/wiki/Adriaan_van_Royen,de Sc. a. 1720 . edit. Pariſ . 320 . Linn. Gen. n. 794 . Roy. 175 . Hall. 712 . Ludvv. n. 358 . 5. NOM. SPEC . Stratiotes millefolia,NaN,BlackwellischesKraeuterbuch_1750_Blackwell,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35238', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35239_virtualSpan']"
11,Roy.,,Adriaan van Royen,Adriaan_van_Royen,true,Kürzel,https://de.wikipedia.org/wiki/Adriaan_van_Royen,Dill. 133 . Boerh. I. 301 . Vaill. 46 . Linn. G. no 535 . Roy. 482 . Hall. 314 . Kram. 67 . Ludvv. no. 740 . Calcatrippa . Cord.,NaN,BlackwellischesKraeuterbuch_1750_Blackwell,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35463', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35464_virtualSpan']"
12,Roy.,,Adriaan van Royen,Adriaan_van_Royen,true,Kürzel,https://de.wikipedia.org/wiki/Adriaan_van_Royen,"foliis com- poſitis multifidis , floribus fubgloboſis pendulis , receptaculo pappoſo Linn. H. 404 . Roy. 153 . Artemiſia foliis incanis , pinnatis , pinnis bilobis latioribus , floribus ex alis",NaN,BlackwellischesKraeuterbuch_1750_Blackwell,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35224', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35225_virtualSpan']"
13,Roy.,,Adriaan van Royen,Adriaan_van_Royen,true,Kürzel,https://de.wikipedia.org/wiki/Adriaan_van_Royen,"Hall. 465 . Lonicera floribus capitatis terminatricibus , foliis omnibus diſtinctis Linn. H. 58 . Roy. 237 . Anm. Die 3 . insbeſondere vorgeſtellte Blumen fig. 2. 3. 4. , welche",NaN,BlackwellischesKraeuterbuch_1750_Blackwell,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35450', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35451_virtualSpan']"
14,Roy.,,Adriaan van Royen,Adriaan_van_Royen,true,Kürzel,https://de.wikipedia.org/wiki/Adriaan_van_Royen,"Heuch. Ind. 42 . Delphinium caule ſimplici , nectariis monophylis . Linn. H. 213 . Roy. 482 . Delphinium radice fibroſa , folliis tenuiſſime diviſis Hall . 314 . Anm. Dieses",NaN,BlackwellischesKraeuterbuch_1750_Blackwell,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35478', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35479_virtualSpan']"
15,Roy.,,Adriaan van Royen,Adriaan_van_Royen,true,Kürzel,https://de.wikipedia.org/wiki/Adriaan_van_Royen,I. 126 . Heiſt. I. 1 . Kram. 73 . Artemiſia Linn. Gen. no. 779 Roy. 153 . Hall. 694 . Ludvv. n. 296 . 5. NOM. SPEC. Abſinthium flore luteo,NaN,BlackwellischesKraeuterbuch_1750_Blackwell,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35211', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35212_virtualSpan']"
16,Roy.,,Adriaan van Royen,Adriaan_van_Royen,true,Kürzel,https://de.wikipedia.org/wiki/Adriaan_van_Royen,I 267 . Vaill. 124 . Heiſt. II. 18 . Linn. G. n. 676 . Roy. 356 . Kram. 14 . Luavv. n. 144 . 5. NOM. SPEC. Malva officinarum flore,NaN,BlackwellischesKraeuterbuch_1750_Blackwell,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35357', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35358_virtualSpan']"
