,persname,dipl,dipl_ctx_lr15,pb_n,doc,dipl-ids
0,Hippokrates_von_Kos,Hippocrate,vrtheilen / was du recht be⸗ findeſt . Ich hab mir das judicium Athenienſium von Hippocrate belieben laſſen / welchen ſie vnder andern auch derenthalben zu ehren meineten : Quia ſcripta,3,AlchymistischePractic-VR_1603_Libavius,"['RIDGES_Herbology_Version9.0/AlchymistischePractic-VR_1603_Libavius#sSpan2709', 'RIDGES_Herbology_Version9.0/AlchymistischePractic-VR_1603_Libavius#sTok2710_virtualSpan']"
1,Pedanios_Dioskurides,Diaſcorides,. Jtem der rauch von Stabwurtzel / vertreybet die Schlangen ynn dem haus / ſpricht Diaſcorides . Jtem oͤl von Stabwurtz gemacht / vnd damit vnter den nabel geſchmieret / machet,NaN,ArtzneyBuchleinDerKreutter-Abrotanum_1532_Tallat,"['RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter-Abrotanum_1532_Tallat#sSpan22617', 'RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter-Abrotanum_1532_Tallat#sTok22618_virtualSpan']"
2,Matthaeus_Platearius,Platearius,ſtulgang / aber Wermut mit eſſig vnd wein / geſtelt den ſtulgang / es ſpricht Platearius / das Wermut eine widderwertige Natur habe / das ſie Laxiert vnd Conſtipiert,NaN,ArtzneyBuchleinDerKreutter-Abrotanum_1532_Tallat,"['RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter-Abrotanum_1532_Tallat#sSpan22618', 'RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter-Abrotanum_1532_Tallat#sTok22619_virtualSpan']"
3,Pythagoras,Pyctagoras,honig waſſer / vertreybet die wuͤrme ynn dem bauch . Fur das lenden wee . Pyctagoras ſpricht / das Knobloch geſtoſſen mit Co⸗ riander vnd wein gemiſcht / iſt gut dafur,NaN,ArtzneyBuchleinDerKreutter-Abrotanum_1532_Tallat,"['RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter-Abrotanum_1532_Tallat#sSpan22619', 'RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter-Abrotanum_1532_Tallat#sTok22620_virtualSpan']"
4,Pedanios_Dioskurides,Diaſcorides,vnd wein gemiſcht / iſt gut dafur . Fur die waſſerſucht . Jtem es ſpricht Diaſcorides / welcher die Waſſerſucht hette / die von kalter materi kompt / genant Ypoſtirca /,NaN,ArtzneyBuchleinDerKreutter-Abrotanum_1532_Tallat,"['RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter-Abrotanum_1532_Tallat#sSpan22620', 'RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter-Abrotanum_1532_Tallat#sTok22621_virtualSpan']"
5,Galenos,Galienus,wurtzel geſoten ynn wein / iſt gut den erlahmten gliedern . Es ſpricht Galienus / ſie ſey gut ym eſſen fur den Krebs / vnd andere vnſauberkeyt des leibs,NaN,ArtzneyBuchleinDerKreutter-Abrotanum_1532_Tallat,"['RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter-Abrotanum_1532_Tallat#sSpan22621', 'RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter-Abrotanum_1532_Tallat#sTok22622_virtualSpan']"
6,Galenos,Galienus,/ machet faſt wol harmen / vnd erbricht den ſtein der lenden vnd blaſſen . Galienus ſpricht / welche frawen kinder tragen / die ſollen Eppich ſamen meiden / denn daruon,NaN,ArtzneyBuchleinDerKreutter-Abrotanum_1532_Tallat,"['RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter-Abrotanum_1532_Tallat#sSpan22622', 'RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter-Abrotanum_1532_Tallat#sTok22623_virtualSpan']"
7,Pedanios_Dioskurides,Diaſcorides,ſollen Eppich ſamen meiden / denn daruon werden viel vnreynigkeyt an des kindes leib . Diaſcorides ſpricht / das Eppich ſamen faſt gut iſt / dem der nicht harmen mag .,NaN,ArtzneyBuchleinDerKreutter-Abrotanum_1532_Tallat,"['RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter-Abrotanum_1532_Tallat#sSpan22623', 'RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter-Abrotanum_1532_Tallat#sTok22624_virtualSpan']"
8,Plinius_der_Ältere,Plinius,vertreybet die gelſucht ſcilicet Yctericiam genant zu latein . Es ſpricht der na⸗ tuͤrliche meiſter Plinius / das Hauswurtzel alle krafft hab die der Saurampffer hat . Fur die ſucht genant,NaN,ArtzneyBuchleinDerKreutter-Abrotanum_1532_Tallat,"['RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter-Abrotanum_1532_Tallat#sSpan22624', 'RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter-Abrotanum_1532_Tallat#sTok22625_virtualSpan']"
9,Plinius_der_Ältere,Plinius,vnd daraus gemachet ein pflaſter / heylet die Feigblattern . Es ſpricht auch Plinius der natuͤrliche Meiſter / Dillen wurtzel geſotten vnd geleget auff die augen / benympt,NaN,ArtzneyBuchleinDerKreutter-Abrotanum_1532_Tallat,"['RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter-Abrotanum_1532_Tallat#sSpan22625', 'RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter-Abrotanum_1532_Tallat#sTok22626_virtualSpan']"
10,Johannes_Mesuë_der_Ältere,Meſue,guten wein . Auch iſt ſie gut fuͤr den vier⸗ tagigen fryrer . Es ſpricht Meſue / das haſſelwurtz ſey gut zu ſenfftiger purgierung des leibs / mit keſswaſſer vnd ho⸗,NaN,ArtzneyBuchleinDerKreutter-Abrotanum_1532_Tallat,"['RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter-Abrotanum_1532_Tallat#sSpan22626', 'RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter-Abrotanum_1532_Tallat#sTok22627_virtualSpan']"
11,Plinius_der_Ältere,Plinius,vnd ho⸗ nig waſſer gemiſcht / auch benimpt ſie hyn das uberfluͤſſig flegma ſenfftiglich . Plinius ſpricht / das haſſelwurtz iſt gut den frawen zu ihrer kranckheit / denn ſie bringt,NaN,ArtzneyBuchleinDerKreutter-Abrotanum_1532_Tallat,"['RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter-Abrotanum_1532_Tallat#sSpan22627', 'RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter-Abrotanum_1532_Tallat#sTok22628_virtualSpan']"
12,Pedanios_Dioskurides,Diaſcorides,des Krebs . Anthos vel Roſmarinus . Roſmarin iſt gut zu man⸗ cherley / als Diaſcorides ſchreybt / ſie iſt gut fur die geelſu⸗ cht / feigblattern / geſchwer / bauchwee,NaN,ArtzneyBuchleinDerKreutter-Abrotanum_1532_Tallat,"['RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter-Abrotanum_1532_Tallat#sSpan22628', 'RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter-Abrotanum_1532_Tallat#sTok22629_virtualSpan']"
13,Pandecta,Pandecta,die ſchweren ynn den augen / wenn man es darumb ſtreicht / dauon ſchrey⸗ bet Pandecta viel . Wie man ſol den frawen den fluſs ſtellen . Anthera . Das geel,NaN,ArtzneyBuchleinDerKreutter-Abrotanum_1532_Tallat,"['RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter-Abrotanum_1532_Tallat#sSpan22629', 'RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter-Abrotanum_1532_Tallat#sTok22630_virtualSpan']"
14,Pedanios_Dioskurides,Diaſcorides,geſchwere / es iſt auch gut wenn ein menſch ynwendig geſchwer hat . Es ſpricht Diaſcorides Boberellen geſſen des abends ſo man ſchlaffen wil gehen drey odder vier vngefehrlich / iſt,NaN,ArtzneyBuchleinDerKreutter-Abrotanum_1532_Tallat,"['RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter-Abrotanum_1532_Tallat#sSpan22630', 'RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter-Abrotanum_1532_Tallat#sTok22631_virtualSpan']"
15,Serapion_von_Alexandria,Serapio,waſſer / vnd damit vnten auff ge⸗ beet / der dampff hilfft / vnd ſpricht Serapio yn dem buch Aggregatoris / das der eichelbaum viel guter tugend hab . Wie man,NaN,ArtzneyBuchleinDerKreutter-Abrotanum_1532_Tallat,"['RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter-Abrotanum_1532_Tallat#sSpan22631', 'RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter-Abrotanum_1532_Tallat#sTok22632_virtualSpan']"
16,Avicenna,Auicenna,dauon viel meiſter ſchreiben . Sterckung des hertzens . Aloes lignum . Ein holtz . Auicenna ynn dem buch ge⸗ nant de viribus cordis ſpricht / das es ſtercke faſt wol,NaN,ArtzneyBuchleinDerKreutter-Abrotanum_1532_Tallat,"['RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter-Abrotanum_1532_Tallat#sSpan22632', 'RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter-Abrotanum_1532_Tallat#sTok22633_virtualSpan']"
17,Aristoteles,Ariſtoteles,der Fuͤrſt aller natuͤrlichen Meiſter Ariſtoteles ſpricht / ihe ge⸗ Vorrhede meyner ein gut ding iſt / ihe Go̊ttlicher vnd beſſer . JNn Gottes na⸗ men Amen . Als,NaN,ArtzneyBuchleinDerKreutter-VR_1532_Tallat,"['RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter-VR_1532_Tallat#sSpan1707', 'RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter-VR_1532_Tallat#sTok1708_virtualSpan']"
18,König_Salomo,Salomon,meyner ein gut ding iſt / ihe Go̊ttlicher vnd beſſer es iſt . Deñ als Salomon ſpricht . Ein heimlicher ſchatz vnd verborgene kunſt geben nie mand viel frucht . Eccleſi.,NaN,ArtzneyBuchleinDerKreutter-VR_1532_Tallat,"['RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter-VR_1532_Tallat#sSpan1708', 'RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter-VR_1532_Tallat#sTok1709_virtualSpan']"
19,Aristoteles,les,ſchatz vnd verborgene kunſt geben nie mand viel frucht . Eccleſi. xv. Auch ſpricht Ariſtote⸗ les . Das ein jglich ding begert ſein natuͤrlich weſen zu be⸗ halten . So aber,NaN,ArtzneyBuchleinDerKreutter-VR_1532_Tallat,"['RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter-VR_1532_Tallat#sSpan1709', 'RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter-VR_1532_Tallat#sTok1710_virtualSpan']"
20,Plinius_der_Ältere,Plinius,. BEtonica . Trinck wein ab Betonien / ſo wird dir ein gute farb ſpricht Plinius . Wer ſie bey ihm trage / dem mag keyne zauberey ſchaden . Es iſt,NaN,ArtzneyBuchleinDerKreutter_1532_Tallat,"['RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter_1532_Tallat#sSpan24150', 'RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter_1532_Tallat#sTok24151_virtualSpan']"
21,Matthaeus_Platearius,Platearius,/ vnd dauon morgens genoſſen / iſt gut wid⸗ der das haubt wee / ſpricht Platearius . Fur ſchwindlen ynn dem heubt . Borraga . Das ſafft von dem kraut Borrich,NaN,ArtzneyBuchleinDerKreutter_1532_Tallat,"['RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter_1532_Tallat#sSpan24151', 'RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter_1532_Tallat#sTok24152_virtualSpan']"
22,Galenos,Galienus,gut den frawen / das ſie manlichen ſamen empfahen vnd ſch⸗ wanger werden / ſpricht Galienus . Vnd viel liſſt man yn Galieno yn ſeinem Anthitotorio ynn dem capitel das an⸗,NaN,ArtzneyBuchleinDerKreutter_1532_Tallat,"['RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter_1532_Tallat#sSpan24152', 'RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter_1532_Tallat#sTok24153_virtualSpan']"
23,Galenos,Galieno,ſamen empfahen vnd ſch⸗ wanger werden / ſpricht Galienus . Vnd viel liſſt man yn Galieno yn ſeinem Anthitotorio ynn dem capitel das an⸗ facht / Medicinam ad concipiendum . Zu,NaN,ArtzneyBuchleinDerKreutter_1532_Tallat,"['RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter_1532_Tallat#sSpan24153', 'RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter_1532_Tallat#sTok24154_virtualSpan']"
